Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998 ,3 ,165.5 ,-7.5 ,2.0 ,0.2150 ,38.6400 ,0.9250 ,39.7750 ,0.1479 ,-14.7741 ,28.2911 
1998 ,5 ,158.5 ,-4.5 ,3.0 ,0.1033 ,38.6133 ,1.9633 ,40.6800 ,0.0570 ,1.5810 ,29.2000 
1998 ,10 ,165.5 ,2.5 ,1.0 ,0.2800 ,38.5600 ,11.9600 ,50.8000 ,0.1225 ,-3.7333 ,28.7700 
1998 ,2 ,150.5 ,3.5 ,4.0 ,0.0833 ,38.4867 ,0.3600 ,38.9267 ,0.1446 ,2.5719 ,28.2792 
1998 ,6 ,164.5 ,-5.5 ,5.0 ,0.4200 ,38.4600 ,1.8900 ,40.7700 ,0.0812 ,7.4353 ,29.0042 
1998 ,8 ,176.5 ,2.5 ,1.0 ,0.1800 ,38.2100 ,7.8900 ,46.2900 ,0.1458 ,1.5643 ,28.4792 
1998 ,8 ,176.5 ,4.5 ,3.0 ,0.0120 ,37.9660 ,0.5320 ,38.5100 ,0.1396 ,0.1471 ,28.5900 
1998 ,10 ,164.5 ,3.5 ,3.3 ,1.2350 ,37.6650 ,7.0425 ,45.9425 ,0.1227 ,2.3412 ,29.3125 
1998 ,11 ,165.5 ,2.5 ,2.0 ,0.3700 ,37.4550 ,15.8050 ,53.6300 ,0.1716 ,-5.0638 ,28.4450 
1998 ,6 ,168.5 ,-3.5 ,2.0 ,0.0150 ,37.1750 ,0.7300 ,37.9200 ,0.0533 ,0.0138 ,29.2150 
1998 ,1 ,151.5 ,0.5 ,3.0 ,0.0900 ,37.1733 ,0.3867 ,37.6467 ,0.1018 ,-12.3373 ,28.1375 
1998 ,7 ,148.5 ,6.5 ,3.0 ,0.4300 ,36.7100 ,1.8900 ,39.0300 ,0.0679 ,2.8147 ,29.6583 
1998 ,8 ,172.5 ,3.5 ,2.7 ,0.0333 ,36.3033 ,1.4567 ,37.7933 ,0.1564 ,0.2611 ,29.0571 
1998 ,5 ,159.5 ,-6.5 ,2.8 ,0.0500 ,36.0500 ,0.5750 ,36.6750 ,0.2111 ,-5.2939 ,29.2350 
1998 ,6 ,160.5 ,-0.5 ,2.7 ,0.6367 ,35.8433 ,2.0300 ,38.5100 ,0.1449 ,-3.4294 ,29.1375 
1998 ,8 ,174.5 ,4.5 ,2.7 ,0.1800 ,35.8367 ,4.0500 ,40.0667 ,0.1505 ,3.3848 ,28.8850 
1998 ,1 ,161.5 ,-6.5 ,2.0 ,1.7450 ,35.4450 ,7.5800 ,44.7750 ,0.1189 ,3.8594 ,29.2042 
1998 ,10 ,151.5 ,3.5 ,2.0 ,0.2050 ,34.7850 ,0.8850 ,35.8700 ,0.0592 ,-0.5571 ,30.3458 
1998 ,4 ,166.5 ,-7.5 ,3.0 ,1.6300 ,34.7800 ,7.0700 ,43.4800 ,0.1277 ,-16.0413 ,29.3792 
