Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998,8,178.5,2.5,3,0.524,13.296,5.976,19.796,0.15235625,0.75294118,28.275
1998,1,146.5,-0.5,3.5,0.415,13.3,1.8,15.515,0.21449375,-1.37903226,28.76
1998,8,157.5,3.5,3,0,13.31,0,13.31,0.08594375,-4.88490566,29.62083333
1998,1,141.5,0.5,4,0,13.33,0,13.33,0.15499167,9.21515152,29.17083333
1998,2,158.5,-3.5,5,0,13.33,0,13.33,0.0856375,-1.95308642,29.12083333
1998,3,141.5,-1.5,1.5,0,13.33,0,13.33,0.13131111,-6.2552,29.005
1998,8,143.5,4.5,3,0,13.33,0,13.33,0.050775,-4.42916667,30.465
1998,7,162.5,-5.5,3,0.15333333,13.35,3.36333333,16.86666667,0.12081818,-1.07288136,28.65
1998,9,171.5,1.5,3,0,13.408,0,13.408,0.22778889,-6.29268293,28.02
1998,2,154.5,-0.5,3,0,13.62,0,13.62,0.1454125,7.5962963,28.44166667
1998,4,153.5,-7.5,1.5,0.31,13.665,13.385,27.365,0.10321111,-4.07285714,29.39583333
1998,5,157.5,-3.5,2,0,13.69,0,13.69,0.06604375,0.37857143,29.52083333
1998,4,154.5,-5.5,1,0,13.7,0,13.7,0.0876,-6.3,29.01818182
1998,11,155.5,3.5,4,0,13.7,0,13.7,0.1096625,1.06666667,29.255
1998,5,160.5,-6.5,3,0,13.70666667,0,13.70666667,0.1328,-10.29767442,28.82916667
1998,11,155.5,2.5,1,0,13.72,0,13.72,0.10695,0,29.21
1998,3,156.5,-4.5,3,0,13.74,0,13.74,0.10016667,-2.86530612,28.96
1998,3,155.5,-2.5,3,0,13.76,0,13.76,0.08245625,-4.11609195,28.83
1998,4,166.5,-8.5,2,0.15,13.81,6.375,20.33,0.13495625,-24.9275,29.225
1998,1,159.5,-2.5,3.25,0.78,13.8175,5.4675,20.065,0.08670833,-0.86785714,29.145
1998,1,147.5,-0.5,3.5,1.08,13.885,3.92,18.89,0.15429167,-2.64,29.02916667
1998,3,162.5,-5.5,2,0.08,13.885,3.395,17.36,0.13853333,-4.56282051,28.06875
1998,10,166.5,2.5,1,0.1,13.92,4.19,18.2,0.1387125,-2.31857143,29.1875
1998,7,161.5,-6.5,3,0.1,13.94333333,4.03,18.07333333,0.156375,1.00967742,28.30416667
1998,5,161.5,-2.5,1,0,13.95,0,13.95,0.11808125,-6.80169492,29.53333333
1998,11,140.5,1.5,5,0,13.99,0,13.99,0.04170909,0.73474576,30.29
1998,1,158.5,-2.5,3.25,2.3125,14.0475,10.2875,26.65,0.085275,-3.79894737,29.48636364
1998,2,150.5,-6.5,3,0.53,14.08,2.29,16.9,0.10991111,11.08888889,28.9625
1998,2,167.5,-5.5,3.5,1.13,14.09,4.295,19.505,0.10429167,5.44193548,28.33548387
1998,7,178.5,1.5,1,0.13,14.16,5.54,19.83,0.20564167,2.92325581,28.188
1998,7,176.5,1.5,2,0.075,14.185,3.24,17.5,0.19221667,-4.60222222,28.41
1998,9,177.5,4.5,1,0.22,14.25,9.28,23.75,0.09493333,4.25892857,29.065
1998,2,165.5,-4.5,3,0.33333333,14.28666667,5.62,20.24,0.09971667,-3.37586207,28.44375
1998,2,163.5,-5.5,2,0.095,14.335,4.11,18.54,0.06478125,-5.88767123,28.30285714
1998,3,155.5,-8.5,3.25,1.97,14.43,14.785,31.1825,0.0976375,-1.19846154,29.32
1998,2,158.5,-4.5,3,0,14.45333333,0,14.45333333,0.09550909,0.84878049,28.69038462
1998,3,162.5,-3.5,3,0.6,14.47,2.61,17.68,0.07361818,0.95490196,29.075
1998,2,159.5,-4.5,3,0.21,14.48,0.91,15.59,0.10943333,-5.54831461,28.55625
1998,5,151.5,-6.5,5,0,14.49,0,14.49,0.12965,-10.90606061,29.7875
1998,7,150.5,3.5,3.5,0,14.495,0,14.495,0.06396667,-6.3125,29.625
1998,9,159.5,3.5,4,0,14.585,0,14.585,0.06936667,-3.09493671,29.715
1998,7,178.5,2.5,2,0.4,14.59333333,16.49,31.47666667,0.17836875,3.44848485,28.4
1998,2,159.5,-3.5,3.5,0.195,14.63,0.85,15.675,0.08019167,-3.07888889,28.92
1998,6,163.5,-6.5,3,0.00666667,14.75333333,0.28666667,15.05,0.11333125,-0.42280702,29.4625
1998,3,146.5,4.5,3,0.11,14.79,0.48,15.38,0.10431667,1.30117647,28.41
1998,2,170.5,-4.5,1,0.21,14.8,8.99,24,0.09362727,-0.38166667,28.23
1998,2,166.5,-4.5,2,0.19,14.88,8.145,23.215,0.0918125,-9.80606061,28.59807692
1998,1,160.5,-6.5,1,0.38,14.9,16.38,31.66,0.1234625,-8.47205882,29.22083333
1998,9,169.5,3.5,2,0,14.97,0,14.97,0.12674,0.43647059,29.18333333
1998,3,163.5,-4.5,1,0.29,14.99,12.56,27.84,0.0969,-1.98823529,28.56
1998,1,170.5,-5.5,3,0,15,0,15,0.10785625,1.984375,29.59166667
1998,6,176.5,4.5,1,0,15,0,15,0.21269167,-2.3,28.5
1998,6,178.5,2.5,1,0,15,0,15,0.25106875,-0.59655172,28.49
1998,9,180.5,6.5,4,0,15,0,15,0,-0.25555556,29.20416667
1998,7,177.5,1.5,2.75,0.3525,15.0125,5.84,21.205,0.20752222,-4.16388889,28.395
1998,12,157.5,5.5,3,0,15.04,0,15.04,0.06231333,-2.30222222,29.25
1998,1,152.5,1.5,4,1.31,15.07,4.17,20.55,0.11860833,-6.61666667,28.104
1998,12,166.5,1.5,1,0.76,15.11,32.47,48.34,0.16946667,-0.72537313,28.35
1998,4,163.5,-7.5,3.25,0.5225,15.1225,1.9975,17.6425,0.12104167,-25.68,29.2
1998,8,159.5,3.5,3,0,15.21,0,15.21,0.09641667,-2.68382353,29.065
1998,10,150.5,3.5,3,0,15.22,0,15.22,0.057825,1.33333333,30.32916667
1998,2,159.5,-5.5,1,0.14,15.29,5.98,21.41,0.19494545,-8.034,28.87173913
1998,10,173.5,4.5,1,0.15,15.32,6.44,21.91,0.14183333,6.93571429,28.71
1998,10,155.5,3.5,3.5,0,15.35,0,15.35,0.102925,4.30877193,29.725
1998,3,152.5,-7.5,2,0.8,15.46,19.555,35.81,0.08215,-8.53902439,29.18
1998,3,152.5,-0.5,1,0,15.46,0,15.46,0.1341375,-5.75974026,28.51
1998,3,158.5,-6.5,3,1.36,15.53666667,18.09666667,34.99666667,0.15720714,2.30714286,28.31538462
1998,5,159.5,-7.5,3,1.46,15.63,6.35,23.44,0.30141111,-6.42222222,29.15
1998,1,152.5,-6.5,1,0.09,15.63,3.97,19.69,0.0808,-10.98888889,29.395
1998,6,162.5,-5.5,3,0.00333333,15.66333333,0.11333333,15.78,0.09375833,6.55581395,29.585
1998,2,154.5,-2.5,3.5,0.975,15.665,3.11,19.755,0.08,8.54242424,28.3375
1998,1,148.5,-0.5,4,1.16666667,15.75,4.25333333,21.16666667,0.10950625,0.51186441,29.0125
1998,12,163.5,2.5,3.33333333,0.07,15.75666667,3.03,18.85333333,0.1232375,0.71938776,29.10416667
1998,12,165.5,0.5,2,1.58,15.86,24.1,41.54,0.14839167,0.73414634,28.415
1998,9,162.5,1.5,1,0.27,15.87,11.63,27.78,0.13165556,-5.81060606,29.154
1998,7,152.5,2.5,3,0,15.88,0,15.88,0.07430625,-3.14615385,29.83
1998,1,154.5,-0.5,3.5,0.895,15.945,3.895,20.735,0.12626875,2.64324324,27.97083333
1998,3,150.5,3.5,2,0.11,15.965,4.78,20.855,0.12559167,-1.88333333,28.27916667
1998,1,146.5,3.5,3,0,16,0,16,0.13396875,-6.62659574,28.09
1998,7,150.5,5.5,3,0,16,0,16,0.06616667,3.51276596,29.58333333
1998,10,156.5,5.5,3,0,16,0,16,0.05086667,6.81590909,30.125
1998,11,168.5,-3.5,2,0,16.03,0,16.03,0.09060833,-1.0025,29.505
1998,1,156.5,-0.5,2.66666667,0.69333333,16.03333333,4.09666667,20.83,0.11294167,-7.59354839,28.30909091
1998,11,147.5,4.5,3,0,16.045,0,16.045,0.04584444,4.24444444,29.615
1998,6,171.5,-1.5,1,0,16.08,0,16.08,0.32441111,5.08235294,27.99
1998,4,160.5,-6.5,3,0,16.13,0,16.13,0.1210125,-13.49204545,29.37083333
1998,4,161.5,-9.5,3,0,16.13,0,16.13,0.11707857,-14.22178218,29.29375
1998,7,149.5,3.5,4,0,16.14,0,16.14,0.057375,-6.09761905,29.61
1998,12,164.5,1.5,2,0.15,16.255,6.335,22.735,0.15193333,1.87045455,28.575
1998,3,146.5,2.5,4,0,16.27,0,16.27,0.1315125,-6.08875,28.27
